iter	RMSE
243	15314.72494
244	15292.66056
245	15259.36122
246	15229.65524
247	15190.61067
248	15149.77272
249	15120.80007
250	15095.14342
251	15058.57461
252	15030.44746
253	14986.06727
254	14977.21385
255	14935.26641
256	14901.39286
257	14883.19292
258	14837.67107
259	14802.57436
260	14770.03216
261	14736.26616
262	14721.95127
263	14708.93578
264	14698.91278
265	14653.78524
266	14616.54217
267	14572.99295
268	14518.49267
269	14475.46599
270	14454.88556
271	14419.78737
272	14389.58
273	14371.49521
274	14342.1379
275	14332.07285
276	14295.32779
277	14259.88939
278	14231.0012
279	14212.79227
280	14184.82829
281	14143.60367
282	14126.75477
283	14098.79658
284	14074.80109
285	14038.70729
286	14009.95639
287	13983.18958
288	13974.14775
289	13941.30152
290	13932.63102
291	13890.6521
292	13873.46226
293	13845.01833
294	13820.5909
295	13807.11604
296	13753.78531
297	13717.95549
298	13689.12645
299	13680.70507
300	13676.53542
301	13652.98547
302	13622.17611
303	13591.65051
304	13587.67065
305	13553.40902
306	13525.98162
307	13518.67458
308	13514.84208
309	13507.14724
310	13476.56676
311	13457.87081
312	13426.24953
313	13408.32455
314	13373.54869
315	13358.46374
316	13326.93989
317	13306.06247
318	13275.07101
319	13263.62453
320	13230.29084
321	13222.97952
322	13203.87255
323	13177.01465
324	13152.27433
325	13131.70924
326	13082.21159
327	13058.66327
328	13055.0032
329	13024.38631
330	13007.15529
331	13003.7997
332	12968.7862
333	12941.98022
334	12904.19183
335	12879.95033
336	12845.68498
337	12802.97975
338	12774.75645
339	12755.71233
340	12737.73371
341	12717.20577
342	12707.79708
343	12683.8371
344	12657.54443
345	12633.89474
346	12608.09086
347	12579.18292
348	12558.45221
349	12532.43839
350	12515.47675
351	12499.11964
352	12477.36409
353	12443.37507
354	12410.46991
355	12388.55489
356	12359.19058
357	12332.80243
358	12318.66112
359	12296.12697
360	12270.7406
361	12237.92366
362	12215.39498
363	12212.43547
364	12200.31457
365	12166.90062
366	12130.4314
367	12100.23382
368	12080.06877
369	12060.74671
370	12047.93589
371	12045.68623
372	12019.98651
373	12017.79601
374	11985.66867
375	11973.65227
376	11962.92274
377	11938.44356
378	11921.23345
379	11908.3281
380	11899.14877
381	11872.98168
382	11848.77677
383	11829.36684
384	11807.08193
385	11795.0938
386	11779.19041
387	11769.9399
388	11746.98526
389	11713.47511
390	11706.97823
391	11685.03827
392	11661.83795
393	11659.30027
394	11644.70662
395	11624.51291
396	11601.74094
397	11599.59948
398	11572.86131
399	11554.6478
400	11531.67442
401	11504.32074
402	11484.28981
403	11482.48344
404	11461.15967
405	11442.40864
406	11423.99633
407	11410.89506
408	11387.80002
409	11375.51783
410	11358.00708
411	11340.92152
412	11339.15965
413	11318.71732
414	11303.9226
415	11302.31444
416	11285.81741
417	11271.58706
418	11235.24335
419	11214.68323
420	11184.58788
421	11183.04311
422	11165.73665
423	11164.22605
424	11136.58532
425	11130.60899
426	11108.85453
427	11077.18686
428	11060.69974
429	11039.46288
430	11013.0135
431	10990.75948
432	10956.96072
433	10955.42752
434	10937.28891
435	10911.63585
436	10894.15983
437	10874.45526
438	10852.90626
439	10836.84399
440	10818.64933
441	10797.64558
442	10795.50873
443	10779.67404
444	10763.25433
445	10749.90951
446	10729.56863
447	10711.95744
448	10699.40411
449	10676.4684
450	10669.93151
451	10650.0014
452	10630.89393
453	10622.81085
454	10601.32187
455	10599.45842
456	10583.516
457	10578.12593
458	10555.8586
459	10543.23817
460	10526.77375
461	10506.14837
462	10482.43245
463	10456.50051
464	10435.45352
465	10422.80336
466	10401.69265
467	10383.88502
468	10366.52378
469	10335.27272
470	10329.25656
471	10313.64644
472	10281.87558
473	10276.24058
474	10263.44434
475	10260.98277
476	10240.28274
477	10225.6704
478	10208.01466
479	10187.8668
480	10172.99826
481	10163.26639
482	10150.83351
483	10130.53545
484	10103.75295
485	10084.11404
486	10066.64951
487	10063.05584
488	10052.96699
489	10051.42425
490	10027.10597
491	10012.68895
492	9995.522969
493	9970.819321
494	9969.619307
495	9957.914914
496	9942.881457
497	9925.818321
498	9902.513168
499	9892.3176
500	9874.396322
501	9864.726942
502	9843.96864
503	9833.386777
504	9818.888247
505	9806.359088
506	9792.306587
507	9777.0032
508	9757.488446
509	9742.946067
510	9725.751255
511	9709.426418
512	9700.862507
513	9681.140676
514	9669.16458
515	9665.382892
516	9649.691506
517	9633.126488
518	9632.006164
519	9612.457771
520	9598.566675
521	9587.120282
522	9585.949339
523	9569.670191
524	9549.91386
525	9533.60616
526	9518.241256
527	9507.607566
528	9492.381501
529	9478.247069
530	9469.097077
531	9448.369725
532	9435.845685
533	9426.732997
534	9408.524211
535	9407.358728
536	9384.33076
537	9373.087174
538	9354.803986
539	9340.747183
540	9329.398934
541	9317.914686
542	9298.958239
543	9283.418789
544	9279.70904
545	9262.351695
546	9251.06367
547	9241.810327
548	9221.982876
549	9213.515876
550	9183.547401
551	9169.35952
552	9168.341993
553	9154.575841
554	9142.047317
555	9125.700315
556	9101.497068
557	9087.024076
558	9065.992498
559	9049.216095
560	9039.060891
561	9031.243285
562	9023.976863
563	9013.372923
564	9001.325202
565	8987.216765
566	8973.020253
567	8959.641747
568	8941.709204
569	8926.807035
570	8918.059464
571	8902.76315
572	8885.877961
573	8873.328664
574	8857.213027
575	8841.402146
576	8826.824276
577	8817.363039
578	8805.81305
579	8786.560642
580	8781.148871
581	8771.516091
582	8751.139805
583	8744.669539
584	8730.414396
585	8729.355575
586	8707.143476
587	8699.421712
588	8696.664308
589	8694.075606
590	8683.144585
591	8668.620195
592	8661.238249
593	8643.906326
594	8632.495699
595	8631.661733
596	8617.048362
597	8605.521578
598	8593.149206
599	8592.366981
600	8584.127083
601	8583.267921
602	8572.445322
603	8553.93047
604	8545.772167
605	8533.284522
606	8521.167504
607	8513.488258
608	8508.677442
609	8501.692263
610	8494.292575
611	8481.902984
612	8472.097074
613	8471.291299
614	8470.452446
615	8456.779136
616	8456.020672
617	8444.84656
618	8433.132044
619	8423.309012
620	8413.021407
621	8408.486505
622	8402.694572
623	8392.459113
624	8376.802403
625	8364.908559
626	8354.705859
627	8343.040035
628	8335.005175
629	8321.089965
630	8320.273559
631	8312.869457
632	8304.167623
633	8293.158994
634	8285.720079
635	8276.172884
636	8264.715188
637	8252.00976
638	8241.001719
639	8227.589276
640	8214.302087
641	8204.809602
642	8191.351757
643	8182.149546
644	8167.753034
645	8154.93059
646	8154.188393
647	8147.00397
648	8136.171618
649	8119.333365
650	8102.429289
651	8101.549132
652	8091.480681
653	8083.011274
654	8082.270664
655	8068.273902
656	8056.124104
657	8054.875185
658	8042.027736
659	8034.559942
660	8022.11683
661	8012.882988
662	8003.966074
663	7993.632454
664	7983.298808
665	7982.227594
666	7967.942539
667	7955.148997
668	7951.264998
669	7936.231745
670	7935.49444
671	7924.76342
672	7915.816579
673	7897.898986
674	7887.38156
675	7871.497937
676	7860.67918
677	7853.484316
678	7847.381679
679	7839.340162
680	7830.769715
681	7819.874151
682	7809.725429
683	7802.62956
684	7794.871943
685	7792.883482
686	7783.732438
687	7772.012047
688	7762.350891
689	7756.086357
690	7754.986871
691	7744.44723
692	7733.506379
693	7717.410754
694	7705.463114
695	7704.689365
696	7687.78596
697	7676.045341
698	7671.039402
699	7656.266161
700	7645.571051
701	7644.877713
702	7637.269609
703	7632.198239
704	7617.613102
705	7608.3048
706	7602.519339
707	7601.921255
708	7601.358142
709	7596.749599
710	7586.616368
711	7582.063441
712	7570.72632
713	7560.58583
714	7553.539186
715	7552.679914
716	7538.219915
717	7525.992677
718	7520.758192
719	7517.761883
720	7512.902528
721	7502.217321
722	7501.672388
723	7490.115896
724	7480.358375
725	7470.249701
726	7460.52584
727	7452.189129
728	7451.695743
729	7433.304078
730	7421.526918
731	7417.211232
732	7409.282862
733	7403.242203
734	7402.767726
735	7396.151135
736	7386.573092
737	7376.873353
738	7368.634221
739	7359.209379
740	7344.635679
741	7344.176631
742	7333.751078
743	7332.861376
744	7325.477942
745	7321.316139
746	7310.708033
747	7300.606011
748	7294.562103
749	7289.074548
750	7278.547563
751	7271.634281
752	7262.114802
753	7248.809798
754	7243.715877
755	7242.843677
756	7233.701776
757	7215.418306
758	7206.144509
759	7194.786364
760	7182.638084
761	7174.841695
762	7169.126718
763	7168.69791
764	7154.897852
765	7144.942704
766	7133.405931
767	7125.18759
768	7113.664223
769	7102.915781
770	7097.084025
771	7092.014222
772	7086.442356
773	7077.424321
774	7073.825363
775	7072.374737
776	7069.684013
777	7057.015911
778	7046.326586
779	7034.133924
780	7025.157248
781	7022.508165
782	7015.137079
783	7003.242769
784	6997.117111
785	6992.079412
786	6983.418678
787	6977.89582
788	6967.986499
789	6966.972004
790	6958.451116
791	6953.760049
792	6938.737025
793	6937.839859
794	6931.274951
795	6924.102742
796	6916.743999
797	6904.323078
798	6888.118487
799	6874.054333
800	6865.637042
801	6858.759578
802	6845.837635
803	6836.204406
804	6823.432975
805	6811.866758
806	6806.545671
807	6799.240641
808	6788.647872
809	6780.484735
810	6776.19486
811	6775.781072
812	6766.184852
813	6765.7242
814	6758.455187
815	6753.270698
816	6742.470307
817	6734.493444
818	6728.327765
819	6722.915708
820	6722.526842
821	6713.265829
822	6705.318781
823	6699.522652
824	6693.804362
825	6682.698739
826	6669.871971
827	6668.65142
828	6662.183475
829	6661.501937
830	6651.600397
831	6642.467378
832	6633.389571
833	6632.979796
834	6624.049958
835	6621.493437
836	6621.125283
837	6616.4042
838	6610.896364
839	6602.395599
840	6593.427495
841	6584.807136
842	6576.696535
843	6567.403414
844	6556.838811
845	6547.735319
846	6547.432028
847	6539.063198
848	6533.362772
849	6519.576954
850	6516.059509
851	6502.997968
852	6496.03437
853	6494.874941
854	6487.212355
855	6477.283726
856	6470.199666
857	6469.819364
858	6463.882461
859	6459.44719
860	6449.306595
861	6440.542913
862	6433.672358
863	6427.365244
864	6420.170406
865	6415.320492
866	6402.266863
867	6395.731302
868	6383.898189
869	6373.998827
870	6365.892892
871	6362.245292
872	6355.848304
873	6350.171896
874	6342.934847
875	6336.140419
876	6333.469144
877	6321.164285
878	6312.530793
879	6305.939774
880	6301.809587
881	6295.764575
882	6288.041384
883	6279.04818
884	6278.694162
885	6272.204614
886	6271.682629
887	6269.105992
888	6265.240328
889	6253.932033
890	6246.412095
891	6239.613822
892	6232.202236
893	6226.066451
894	6216.447903
895	6209.684773
896	6198.742177
897	6188.64233
898	6181.896844
899	6177.0825
900	6171.863571
901	6162.10434
902	6153.895483
903	6145.143989
904	6138.153975
905	6127.077053
906	6126.386426
907	6119.993759
908	6111.484135
909	6098.111016
910	6097.203601
911	6095.914721
912	6091.060224
913	6079.752346
914	6072.488372
915	6067.36619
916	6061.653938
917	6052.508882
918	6040.746573
919	6032.927993
920	6030.847431
921	6022.557274
922	6020.223694
923	6013.324778
924	6013.030148
925	6008.266869
926	6002.26049
927	5993.053308
928	5992.641918
929	5983.116557
930	5969.29244
931	5964.458995
932	5962.314787
933	5959.251419
934	5950.522452
935	5937.999827
936	5927.697142
937	5923.296528
938	5921.063119
939	5910.435894
940	5909.531086
941	5897.466074
942	5888.057
943	5879.806751
944	5875.55818
945	5870.074558
946	5862.289759
947	5853.622755
948	5851.759055
949	5846.837592
950	5842.868522
951	5842.636949
952	5832.244428
953	5831.997214
954	5826.506932
955	5820.745099
956	5815.487265
957	5815.035546
958	5809.636612
959	5801.568603
960	5794.552192
961	5788.378042
962	5777.427672
963	5774.422675
964	5771.725622
965	5765.83879
966	5761.219801
967	5751.439013
968	5744.877202
969	5744.64604
970	5736.100417
971	5730.953184
972	5725.904879
973	5725.692715
974	5713.251764
975	5711.913405
976	5706.213749
977	5696.289974
978	5693.677471
979	5687.124689
980	5681.91621
981	5679.560608
982	5672.336571
983	5662.344813
984	5659.536737
985	5659.237402
986	5653.430546
987	5647.591066
988	5643.220833
989	5638.323424
990	5638.092302
991	5632.062119
992	5623.984358
993	5622.538568
994	5622.302388
995	5615.953292
996	5612.092177
997	5606.841212
998	5600.936277
999	5600.156435
